Institute Sample Label	Sample name	Group	ParentA	ParentB	Replicate(s)
WG0096795-DNAA01	B73 	Control			
WG0096795-DNAB01	M0001	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAC01	M0007	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAD01	M0010	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAE01	M0014	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAF01	M0016	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAG01	M0021	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAH01	M0023	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAA02	B73xMo17	Control	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAB02	M0025	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAC02	M0028	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAD02	M0030	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAE02	M0032	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAF02	M0005	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAG02	M0008	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAH02	M0012	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAA03	M0015	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAB03	M0017	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAC03	M0022	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAD03	M0024	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAE03	M0027	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAF03	M0029	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAG03	M0031	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAH03	M0033	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
WG0096795-DNAA04	M0034	IBM94	WG0096795-DNAA01	WG0096795-DNAA12	
